Listing Directory...
55.csv	607
0.csv	76028
1.csv	7863
2.csv	12292
3.csv	26924
4.csv	2277
5.csv	7997
6.csv	630
7.csv	6267
8.csv	11603
9.csv	7619
10.csv	89832
11.csv	15704
12.csv	42638
13.csv	27938
14.csv	17017
15.csv	13455
16.csv	33549
17.csv	53871
18.csv	145191
19.csv	20244
20.csv	27912
21.csv	132800
22.csv	36128
23.csv	1759
24.csv	7335
25.csv	35149
26.csv	89738
27.csv	7226
28.csv	13579
29.csv	339101
30.csv	211244
31.csv	1410
32.csv	256
Input file name...
18.csv
CG5,112,2000,2120,15.155146,102.605910,14242.36,0.000000,0.000000,0.00,13311.29,21.12,5.18,155.18,13322.01,11.42,14.26,154.89,11.13,13.50
CG5,113,2713,2120,15.155072,102.605700,14259.80,0.000000,0.000000,0.00,13328.31,21.08,5.13,154.73,13338.03,11.40,14.23,154.47,11.06,13.44
CG5,114,1286,2120,15.155008,102.605420,14277.29,0.000000,0.000000,0.00,13345.03,21.10,5.03,154.29,13352.59,11.39,14.22,154.09,11.06,13.40
CG5,115,2698,2120,15.154941,102.605080,14292.16,0.000000,0.000000,0.00,13356.51,21.00,5.14,153.99,13367.68,11.33,14.18,153.70,11.00,13.44
CG5,116,1302,2120,15.154874,102.604770,14304.71,0.000000,0.000000,0.00,13367.92,21.02,5.08,153.69,13379.59,11.31,14.10,153.39,11.00,13.46
CG5,117,2698,2120,15.154851,102.604450,14316.43,0.000000,0.000000,0.00,13378.13,20.94,5.00,153.43,13390.01,11.23,14.03,153.12,10.88,13.42
CG5,118,2000,2120,15.154831,102.604120,14328.68,0.000000,0.000000,0.00,13391.00,20.89,5.17,153.09,13472.94,3.53,14.49,150.97,10.81,13.42
CG5,119,1301,2120,15.154799,102.603820,14343.08,0.000000,0.000000,0.00,13404.27,20.93,5.11,152.75,13427.81,9.61,14.26,152.14,10.81,13.46
CG5,120,2000,2120,15.154770,102.603500,14358.65,0.000000,0.000000,0.00,13418.89,20.85,5.05,152.37,13428.45,11.09,14.29,152.12,10.75,13.46
CG5,121,2000,2120,15.154735,102.603210,14374.77,0.000000,0.000000,0.00,13437.09,20.82,5.13,151.90,13445.54,11.00,14.33,151.68,10.69,13.44
CG5,122,1999,2120,15.154711,102.602970,14391.42,0.000000,0.000000,0.00,13450.32,20.80,5.23,151.56,13457.52,10.99,14.28,151.37,10.63,13.42
CG5,123,1999,2120,15.154633,102.602720,14405.70,0.000000,0.000000,0.00,13461.71,20.77,5.17,151.26,13470.54,10.93,14.21,151.03,10.63,13.50
CG5,124,1999,2120,15.154503,102.602490,14420.17,0.000000,0.000000,0.00,13477.02,20.74,5.06,150.87,13485.36,10.92,14.27,150.65,10.56,13.40
CG5,125,1999,2120,15.154400,102.602300,14433.25,0.000000,0.000000,0.00,13487.63,20.71,5.06,150.60,13497.29,10.86,14.19,150.35,10.56,13.44
CG5,126,1999,2120,15.154328,102.602070,14447.61,0.000000,0.000000,0.00,13501.79,20.67,5.20,150.23,13511.17,10.82,14.08,149.99,10.50,13.42
CG5,127,2000,2120,15.154312,102.601800,14463.43,0.000000,0.000000,0.00,13517.58,20.62,4.94,149.83,13528.08,10.79,13.98,149.56,10.50,13.44
CG5,128,2000,2120,15.154300,102.601490,14478.50,0.000000,0.000000,0.00,13528.52,20.58,5.02,149.55,13539.93,10.74,14.04,149.26,10.44,13.42
CG5,129,2000,2120,15.154272,102.601130,14491.00,0.000000,0.000000,0.00,13539.91,20.57,5.06,149.26,13550.80,10.68,14.09,148.98,10.38,13.48
CG5,130,2000,2120,15.154218,102.600770,14502.73,0.000000,0.000000,0.00,13554.17,20.53,5.12,148.90,13561.77,10.64,13.92,148.70,10.31,13.44
CG5,131,2000,2120,15.154135,102.600420,14512.99,0.000000,0.000000,0.00,13563.66,20.48,5.08,148.66,13570.99,10.60,13.99,148.47,10.31,13.46
CG5,132,2000,2120,15.154048,102.600040,14522.06,0.000000,0.000000,0.00,13571.43,20.47,5.16,148.46,13580.21,10.54,14.04,148.24,10.25,13.48
CG5,133,2698,2120,15.153963,102.599670,14530.44,0.000000,0.000000,0.00,13578.23,20.44,5.14,148.29,13587.81,10.51,14.07,148.04,10.13,13.42
CG5,134,2000,2120,15.153871,102.599320,14537.57,0.000000,0.000000,0.00,13587.44,20.36,5.01,148.05,13593.32,10.50,14.07,147.90,10.13,13.44
CG5,135,1301,2120,15.153786,102.598960,14546.24,0.000000,0.000000,0.00,13595.60,20.35,5.22,147.85,13603.32,10.44,14.16,147.65,10.06,13.50
CG5,136,2000,2120,15.153712,102.598600,14558.36,0.000000,0.000000,0.00,13607.47,20.35,5.21,147.55,13615.98,10.34,14.15,147.33,10.06,13.44
CG5,137,2000,2120,15.153640,102.598220,14571.13,0.000000,0.000000,0.00,13622.13,20.32,5.31,147.18,13628.29,10.30,14.34,147.02,10.00,13.46
CG5,138,1999,2120,15.153613,102.597850,14583.21,0.000000,0.000000,0.00,13631.26,20.29,5.18,146.95,13639.27,10.25,14.43,146.75,9.94,13.50
CG5,139,1999,2120,15.153629,102.597530,14593.71,0.000000,0.000000,0.00,13641.19,20.24,5.16,146.70,13650.53,10.22,14.47,146.46,9.88,13.46
CG5,140,1999,2120,15.153653,102.597190,14605.50,0.000000,0.000000,0.00,13652.10,20.21,5.01,146.42,13661.28,10.20,14.46,146.19,9.88,13.46
CG5,141,1998,2120,15.153685,102.596860,14619.14,0.000000,0.000000,0.00,13665.10,20.17,5.04,146.10,13674.75,10.14,14.42,145.86,9.81,13.50
CG5,142,1998,2120,15.153724,102.596560,14632.33,0.000000,0.000000,0.00,13675.82,20.13,5.04,145.83,13686.81,10.12,14.40,145.56,9.81,13.44
CG5,143,2000,2120,15.153750,102.596260,14644.10,0.000000,0.000000,0.00,13685.74,20.12,4.92,145.58,13694.99,10.05,14.42,145.35,9.75,13.46
CG5,144,2000,2120,15.153776,102.595990,14654.83,0.000000,0.000000,0.00,13695.99,20.09,4.83,145.33,13704.82,9.99,14.41,145.11,9.75,13.46
CG5,145,2000,2120,15.153800,102.595700,14664.73,0.000000,0.000000,0.00,13705.40,20.07,4.96,145.09,13713.44,9.94,14.48,144.89,9.69,13.46
CG5,146,2000,2120,15.153819,102.595410,14673.40,0.000000,0.000000,0.00,13712.42,20.04,5.11,144.92,13720.58,9.87,14.53,144.71,9.63,13.42
CG5,147,2000,2120,15.153850,102.595050,14681.61,0.000000,0.000000,0.00,13721.24,20.01,5.21,144.70,13729.77,9.84,14.58,144.49,9.56,13.48
CG5,148,2000,2120,15.153883,102.594600,14693.12,0.000000,0.000000,0.00,13730.30,19.98,5.29,144.47,13737.66,9.81,14.70,144.29,9.56,13.53
CG5,149,2000,2120,15.153925,102.594180,14701.01,0.000000,0.000000,0.00,13737.77,19.95,5.33,144.29,13743.59,9.79,14.71,144.14,9.50,13.48
CG5,150,2000,2120,15.153957,102.593780,14708.48,0.000000,0.000000,0.00,13742.77,19.91,5.33,144.16,13749.54,9.75,14.75,144.00,9.44,13.44
CG5,151,2000,2120,15.153955,102.593390,14718.82,0.000000,0.000000,0.00,13751.96,19.87,5.40,143.94,13758.74,9.70,14.68,143.77,9.38,13.46
